N° de compte,Nomenclature du compte,La classe,La rubrique
235,"Mobilier, matériel de bureau et aménagements divers",Comptes d'Actif Immobilisé,Immobilisation corporelles
2351,Mobilier de bureau,Comptes d'Actif Immobilisé,Immobilisation corporelles
2352,Matériel de bureau,Comptes d'Actif Immobilisé,Immobilisation corporelles
2355,Matériel Informatique,Comptes d'Actif Immobilisé,Immobilisation corporelles
2356,"Agencement, installations et aménagements divers (de biens n'appartenant pas à l'entreprise)",Comptes d'Actif Immobilisé,Immobilisation corporelles
2358,"Autres mobiliers, matériel de bureau et aménagements divers",Comptes d'Actif Immobilisé,Immobilisation corporelles
238,Autres immobilisations corporelles,Comptes d'Actif Immobilisé,Immobilisation corporelles
2380,Autres immobilisations corporelles,Comptes d'Actif Immobilisé,Immobilisation corporelles
239,Immobilisations corporelles en cours,Comptes d'Actif Immobilisé,Immobilisation corporelles
2392,immobilisations Corporelles en cours et terrains de constructions,Comptes d'Actif Immobilisé,Immobilisation corporelles
2393,"immobilisations Corporelles en cours et terrains des installations techniques, matériel et outillage",Comptes d'Actif Immobilisé,Immobilisation corporelles
2394,Immobilisations corporelles en cours de matériel de transports,Comptes d'Actif Immobilisé,Immobilisation corporelles
2395,"Immobilisations corporelles en cours de mobilier, matériel de bureau et aménagement divers",Comptes d'Actif Immobilisé,Immobilisation corporelles
2397,Avances et acomptes versés sur commandes d'immobilisations corporelles,Comptes d'Actif Immobilisé,Immobilisation corporelles
2398,Autres immobilisations corporelles en cours ,Comptes d'Actif Immobilisé,Immobilisation corporelles
24 - 25,Immobilisations Financières,Comptes d'Actif Immobilisé,Immobilisations Financières
241,Prêts immobilisés,Comptes d'Actif Immobilisé,Immobilisations Financières
2411,Prêts au personnel,Comptes d'Actif Immobilisé,Immobilisations Financières
2415,Prêts aux associés,Comptes d'Actif Immobilisé,Immobilisations Financières
2416,Billets de Fonds,Comptes d'Actif Immobilisé,Immobilisations Financières
2418,Autres prêts,Comptes d'Actif Immobilisé,Immobilisations Financières
248,Autres créances financières ,Comptes d'Actif Immobilisé,Immobilisations Financières
2481,Titres immobilisés (Droits de créance),Comptes d'Actif Immobilisé,Immobilisations Financières
24811,Obligations,Comptes d'Actif Immobilisé,Immobilisations Financières
24813,Bons d'équipements ,Comptes d'Actif Immobilisé,Immobilisations Financières
24818,Bons divers,Comptes d'Actif Immobilisé,Immobilisations Financières
2483,Créances rattachées à des participations,Comptes d'Actif Immobilisé,Immobilisations Financières
2486,Dépôts et cautionnements versés,Comptes d'Actif Immobilisé,Immobilisations Financières
24861,Dépôts,Comptes d'Actif Immobilisé,Immobilisations Financières
24864,Cautionnements,Comptes d'Actif Immobilisé,Immobilisations Financières
2487,Créances Immobilisées,Comptes d'Actif Immobilisé,Immobilisations Financières
2488,Créances financières diverses,Comptes d'Actif Immobilisé,Immobilisations Financières
251,Titres de participation,Comptes d'Actif Immobilisé,Immobilisations Financières
2510,Titres de participation,Comptes d'Actif Immobilisé,Immobilisations Financières
258,Autres titres immobilisés (Titres de propriété),Comptes d'Actif Immobilisé,Immobilisations Financières
2581,Actions,Comptes d'Actif Immobilisé,Immobilisations Financières
2588,Titres divers,Comptes d'Actif Immobilisé,Immobilisations Financières
27,Ecarts de conversion Actif,Comptes d'Actif Immobilisé,
271,Diminution des créances Immobilisées,Comptes d'Actif Immobilisé,Ecarts de conversion Actif
2710,Diminution des créances Immobilisées,Comptes d'Actif Immobilisé,Ecarts de conversion Actif
272,Augmentation des dettes de financement,Comptes d'Actif Immobilisé,Ecarts de conversion Actif
2720,Augmentation des dettes de financement,Comptes d'Actif Immobilisé,Ecarts de conversion Actif
28,Amortissements des immobilisations,Comptes d'Actif Immobilisé,Amortissement des immobilisations
281,Amortissements des en non-valeurs,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2811,Amortissements des frais préliminaires,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28111,Amortissements des Faris de constitution ,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28112,Amortissement des frais préliminaires au démarrage,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28113,Amortissements des frais d'augmentation de capital,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28114,Amortissements des frais sur opérations des fusions scissions et transformations,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28116,Amortissements des frais d prospection,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28117,Amortissements des frais de publicité,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28118,Amortissements des autres frais préliminaires,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2812,Amortissements des charges à répartir,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28121,Amortissements des frais d'acquisition des immobilisations ,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28125,Amortissements des frais d'émission des emprunts,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28128,Amortissements des autres charges à répartir,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28813,"Amortissements, primes de remboursement des obligations",Comptes d'Actif Immobilisé,Amortissement des immobilisations
282,Amortissements des immobilisations incorporelles,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2821,Amortissement de l'immobilisation en recherche et développement,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2822,"Amortissement des brevets, marques, droits et valeurs similaires",Comptes d'Actif Immobilisé,Amortissement des immobilisations
2823,Amortissement du fond commercial,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2828,Amortissement des autres immobilisations incorporelles,Comptes d'Actif Immobilisé,Amortissement des immobilisations
283,Amortissements des immobilisations corporelles,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2831,Amortissement des terrains,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28311,Amortissement des terrains nus,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28312,Amortissement des terrains aménagés,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28313,Amortissement des terrains bâtis,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28314,Amortissement des  terrains de gisement,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28316,Amortissement des agencements et aménagements des terrains,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28318,Amortissement des autres terrains,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2832,Amortissement des autres construction,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28321,Amortissement des bâtiments,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28323,Amortissement des construction sur terrains d'autrui,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28325,Amortissement des ouvrages d'infrastructure,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28327,"Amortissement des installations, agencements et aménagements des constructions",Comptes d'Actif Immobilisé,Amortissement des immobilisations
28328,Amortissement des autres constructions,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2833,"Amortissement des Installations techniques, matériels et outillage",Comptes d'Actif Immobilisé,Amortissement des immobilisations
28331,Amortissement des installations techniques,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28332,Amortissement du matériel et outillage,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28333,Amortissement des emballages récupérables identifiables,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28338,Amortissement des autres installations techniques,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2834,Amortissement du matériel de transport,Comptes d'Actif Immobilisé,Amortissement des immobilisations
2835,"Amortissement du mobilier, matériel de bureau",Comptes d'Actif Immobilisé,Amortissement des immobilisations
28351,Amortissement du mobilier de bureau,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28352,Amortissement du matériel de bureau,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28355,Amortissement du matériel informatique,Comptes d'Actif Immobilisé,Amortissement des immobilisations
28356,"Amortissement des agencements, installations et aménagements divers",Comptes d'Actif Immobilisé,Amortissement des immobilisations
28358,"Amortissement des autres mobilier, matériel de bureau et aménagements divers",Comptes d'Actif Immobilisé,Amortissement des immobilisations
2838,Amortissement des autres immobilisations corporelles,Comptes d'Actif Immobilisé,Amortissement des immobilisations
29,Provisions pour dépréciation des immobilisations,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
292,Provisions pour dépréciation des immobilisations incorporelles,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2920,Provisions pour dépréciation des immobilisations incorporelles,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
293,Provisions pour dépréciation des immobilisations corporelles,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2930,Provisions pour dépréciation des immobilisations corporelles,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
294 - 295,Provisions pour dépréciation des immobilisations financières,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2941,Provisions pour dépréciation des prêts immobilisés,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2948,Provisions pour dépréciation des autres créances financières,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2951,Provisions pour dépréciation des titres de participations,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
2958,Provisions pour dépréciation des autres immobilisés,Comptes d'Actif Immobilisé,Provisions pour dépréciation des immobilisations
3,Comptes d'actif Circulation (Hors Trésorerie),Comptes d'Actif Circulant,
31,Stocks,Comptes d'Actif Circulant,Stocks
311,Marchandises,Comptes d'Actif Circulant,Stocks
3111,Marchandises (Groupe A),Comptes d'Actif Circulant,Stocks
3112,Marchandises (Groupe B),Comptes d'Actif Circulant,Stocks
3116,Marchandises en cours de route,Comptes d'Actif Circulant,Stocks
3118,Autres marchandises,Comptes d'Actif Circulant,Stocks
312,Matières et fournitures consommables,Comptes d'Actif Circulant,Stocks
3121,Matières premières,Comptes d'Actif Circulant,Stocks
31211,Matières premières (Groupe A),Comptes d'Actif Circulant,Stocks
31212,Matières premières (Groupe B),Comptes d'Actif Circulant,Stocks
3122,Matières et fournitures consommables,Comptes d'Actif Circulant,Stocks
31221,Matières consommables (Groupe A),Comptes d'Actif Circulant,Stocks
31222,Matières consommables (Groupe B),Comptes d'Actif Circulant,Stocks
31223,Combustibles,Comptes d'Actif Circulant,Stocks
31224,Produits d'entretien,Comptes d'Actif Circulant,Stocks
31225,Fournitures d'atelier et d'usine,Comptes d'Actif Circulant,Stocks
31226,Fournitures de magasin,Comptes d'Actif Circulant,Stocks
31227,Fournitures de Bureau,Comptes d'Actif Circulant,Stocks
3123,Emballages,Comptes d'Actif Circulant,Stocks
31231,Emballages Perdus,Comptes d'Actif Circulant,Stocks
31232,Emballages récupérables non identifiables,Comptes d'Actif Circulant,Stocks
31233,Emballages à usage mixte,Comptes d'Actif Circulant,Stocks
3126,Matières et fournitures consommables en cours de route,Comptes d'Actif Circulant,Stocks
3128,Autres matières et fournitures consommables,Comptes d'Actif Circulant,Stocks
313,Produits en cours,Comptes d'Actif Circulant,Stocks
3131,Biens en cours,Comptes d'Actif Circulant,Stocks
31311,Biens produits en cours,Comptes d'Actif Circulant,Stocks
31312,Biens Intermédiaires en cours,Comptes d'Actif Circulant,Stocks
31317,Biens résiduels en cours,Comptes d'Actif Circulant,Stocks
3134,Services en cours,Comptes d'Actif Circulant,Stocks
31341,Travaux en cours,Comptes d'Actif Circulant,Stocks
31342,Etudes en cours,Comptes d'Actif Circulant,Stocks
31343,Prestations en cours,Comptes d'Actif Circulant,Stocks
3138,Autres produits en cours,Comptes d'Actif Circulant,Stocks
314,Produits intermédiaires et produits résiduels,Comptes d'Actif Circulant,Stocks
3141,Produits intermédiaires,Comptes d'Actif Circulant,Stocks
31411,Produits intermédiaires (Groupe A),Comptes d'Actif Circulant,Stocks
31412,Produits intermédiaires (Groupe B),Comptes d'Actif Circulant,Stocks
3145,Produits résiduels (ou matières de récupération),Comptes d'Actif Circulant,Stocks
31451,Déchets,Comptes d'Actif Circulant,Stocks
31452,Rebuts,Comptes d'Actif Circulant,Stocks
31453,Matières de récupération,Comptes d'Actif Circulant,Stocks
3148,Autres produits intermédiaires et produits résiduels,Comptes d'Actif Circulant,Stocks
315,Produits Finis,Comptes d'Actif Circulant,Stocks
3151,Produits Finis (groupe A),Comptes d'Actif Circulant,Stocks
3152,Produits Finis (groupe B),Comptes d'Actif Circulant,Stocks
3156,Produits finis en cours de route,Comptes d'Actif Circulant,Stocks
3158,Autres produits finis,Comptes d'Actif Circulant,Stocks
34,Créances de l'actif circulant,Comptes d'Actif Circulant,Créances de l'actif circulant
341,"Fournisseurs débiteur, avances et acomptes",Comptes d'Actif Circulant,Créances de l'actif circulant
3411,Fournisseurs - avances et acomptes versés sur commandes d'exploitation,Comptes d'Actif Circulant,Créances de l'actif circulant
3413,Fournisseurs - créances pour emballages et matériels à rendre,Comptes d'Actif Circulant,Créances de l'actif circulant
3417,"Rabais, remises et ristournes à obtenir - avoirs non encoure reçus",Comptes d'Actif Circulant,Créances de l'actif circulant
3418,Autres fournisseurs débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
342,Clients et comptes rattachés,Comptes d'Actif Circulant,Créances de l'actif circulant
3421,Clients,Comptes d'Actif Circulant,Créances de l'actif circulant
34211,Clients (Groupe A),Comptes d'Actif Circulant,Créances de l'actif circulant
34212,Clients (Groupe B),Comptes d'Actif Circulant,Créances de l'actif circulant
3423,Clients - retenues de garanties,Comptes d'Actif Circulant,Créances de l'actif circulant
3424,Clients douteux ou litigieux,Comptes d'Actif Circulant,Créances de l'actif circulant
3425,Clients - effets à recevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
3427,Clients - factures à établir et créances sur travaux non encore facturables,Comptes d'Actif Circulant,Créances de l'actif circulant
34271,Clients - factures à établir,Comptes d'Actif Circulant,Créances de l'actif circulant
34272,Créances sur travaux non encore facturables,Comptes d'Actif Circulant,Créances de l'actif circulant
3428,Autres clients et comptes rattachés,Comptes d'Actif Circulant,Créances de l'actif circulant
343,Personnel - débiteur,Comptes d'Actif Circulant,Créances de l'actif circulant
3431,Avances et acomptes au personnel,Comptes d'Actif Circulant,Créances de l'actif circulant
3438,Personnel - autres débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
345,Etat - débiteur,Comptes d'Actif Circulant,Créances de l'actif circulant
3451,Subventions à recevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
34511,Subventions d'investissements à recevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
34512,subventions d'exploitation à recevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
34513,Subventions d'équilibre à recevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
3453,Acomptes sur impôts sur les résultats,Comptes d'Actif Circulant,Créances de l'actif circulant
3455,Etat - TVA récupérable,Comptes d'Actif Circulant,Créances de l'actif circulant
34551,Etat - TVA récupérable sur Immobilisations,Comptes d'Actif Circulant,Créances de l'actif circulant
34552,Etat - TVA récupérable sur charges,Comptes d'Actif Circulant,Créances de l'actif circulant
3456,Etat - crédit de TVA (suivant déclarations),Comptes d'Actif Circulant,Créances de l'actif circulant
3458,Etat - autres comptes débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
346,Comptes d'associés - débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
3461,Associés - comptes d'apport en société,Comptes d'Actif Circulant,Créances de l'actif circulant
3462,Actionnaires - capital souscrit et appelé non versé,Comptes d'Actif Circulant,Créances de l'actif circulant
3463,Comptes courants des associés - débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
3464,Associés - opérations faites en commun,Comptes d'Actif Circulant,Créances de l'actif circulant
3467,Créances rattachées aux comptes d'associés,Comptes d'Actif Circulant,Créances de l'actif circulant
3468,Autres comptes d'associés - débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
348,Autres débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
3481,Créances sur cession d'immobilisations,Comptes d'Actif Circulant,Créances de l'actif circulant
3482,Créances sur cession d'éléments d'actif circulant,Comptes d'Actif Circulant,Créances de l'actif circulant
3487,Créances rattachées aux autres débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
3488,Divers débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
349,Comptes de régularisation,Comptes d'Actif Circulant,Créances de l'actif circulant
3491,Charges constatées d'avance,Comptes d'Actif Circulant,Créances de l'actif circulant
3493,Intérêts courus et non échus à percevoir,Comptes d'Actif Circulant,Créances de l'actif circulant
3495,Comptes de participations périodique des charges,Comptes d'Actif Circulant,Créances de l'actif circulant
3497,Comptes transitoires ou d'attente - débiteurs,Comptes d'Actif Circulant,Créances de l'actif circulant
35,Titres te valeurs de placement,Comptes d'Actif Circulant,Titres et valeurs de placement
350,Titres te valeurs de placement,Comptes d'Actif Circulant,Titres et valeurs de placement
3501,"Actions, partie libérée",Comptes d'Actif Circulant,Titres et valeurs de placement
3502,"Actions, partie non libérée",Comptes d'Actif Circulant,Titres et valeurs de placement
3504,Obligations,Comptes d'Actif Circulant,Titres et valeurs de placement
3506,Bons de caisse et bons de trésor,Comptes d'Actif Circulant,Titres et valeurs de placement
35061,Bons de caisse,Comptes d'Actif Circulant,Titres et valeurs de placement
35062,Bons de trésor,Comptes d'Actif Circulant,Titres et valeurs de placement
3508,Autres titres et valeurs de placement similaires,Comptes d'Actif Circulant,Titres et valeurs de placement
